,player_name,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
4329fbb5,Shane Watson,2.7812974198401754,321.0,0.0,0.0,2.7812974198401754,321.0,0.0,2.7812974198401754,0.03291476236497249
e4a0deae,M Santner,2.0197571274390986,24.0,0.3791634165559694,88.0,2.398920543995068,112.0,0.0,2.398920543995068,0.028389592236628024
fa2f1dde,Kulwant Khejroliya,0.0,0.0,1.7950201235262742,31.0,1.7950201235262742,31.0,0.0,1.7950201235262742,0.02124284169853579
1c914163,Y Singh,1.5890599985808485,83.0,0.0,0.0,1.5890599985808485,83.0,0.0,1.5890599985808485,0.018805443770187554
235c2bb6,Heinrich Klaasen,1.0886968074330492,5.0,0.0,0.0,1.0886968074330492,5.0,0.0,1.0886968074330492,0.012883985886781647
d014d5ac,S Rutherford,2.377272124224455,55.0,-1.448687495639006,46.0,0.9285846285854493,101.0,0.0,0.9285846285854493,0.010989167202194667
cdc6bdba,Sandeep Warrier,0.0,0.0,0.7182580549539651,73.0,0.7182580549539651,73.0,0.0,0.7182580549539651,0.008500095324898996
77255a9e,R Tripathi,0.22187374246842473,122.0,0.0,0.0,0.22187374246842473,122.0,0.0,0.22187374246842473,0.0026257247629399376
45eda7c8,Chris Lynn,0.053093299924604764,296.0,0.0,0.0,0.053093299924604764,296.0,0.0,0.053093299924604764,0.0006283230760308256
a818c1be,T Boult,0.8693737314251475,3.0,-0.8393654649117521,120.0,0.030008266513395387,123.0,0.0,0.030008266513395387,0.0003551274143597087
29e95537,A Rahane,-0.9785545137261127,289.0,0.0,0.0,-0.9785545137261127,289.0,0.0,-0.9785545137261127,-0.011580526789658138
c6097d68,Thomas,0.0,0.0,-1.339876527495187,56.0,-1.339876527495187,56.0,0.0,-1.339876527495187,-0.01585652695260576
9601c534,S D Lad,-1.3566125280041097,13.0,0.0,0.0,-1.3566125280041097,13.0,0.0,-1.3566125280041097,-0.016054586130226152
bdadf7da,J Denly,-1.5096566368507869,1.0,0.0,0.0,-1.5096566368507869,1.0,0.0,-1.5096566368507869,-0.017865759015985645
85ec8e33,S Iyer,-1.8938102403620114,398.0,0.0,0.0,-1.8938102403620114,398.0,0.0,-1.8938102403620114,-0.022411955507242738
4125d931,Suchith J,-4.379697365101323,6.0,2.384954845034498,24.0,-1.9947425200668247,30.0,0.0,-1.9947425200668247,-0.02360642035582041
6b19d823,Amit Mishra,5.399825553303722,16.0,-7.909845742791752,238.0,-2.5100201894880305,254.0,0.0,-2.5100201894880305,-0.029704380940686753
7dc35884,S Al Hasan,-4.723588945852744,11.0,2.1524513019084246,66.0,-2.5711376439443194,77.0,0.0,-2.5711376439443194,-0.03042766442537656
50c6bc2b,Liam Livingstone,1.2853317100938413,48.0,-3.8642729293067464,6.0,-2.578941219212905,54.0,0.0,-2.578941219212905,-0.03052001442855509
faa7365d,D Shorey,-3.408523115400572,11.0,0.0,0.0,-3.408523115400572,11.0,0.0,-3.408523115400572,-0.04033755166154523
2f49c897,Siraj,-10.270242878158292,14.0,6.528647673521332,177.0,-3.74159520463696,191.0,0.0,-3.74159520463696,-0.04427923319096994
85e0cf10,Krishna,-1.227909630889061,1.0,-2.539927710661434,260.0,-3.767837341550495,261.0,0.0,-3.767837341550495,-0.04458979102426622
944533a5,K Nair,-3.7874333360385593,6.0,0.0,0.0,-3.7874333360385593,6.0,0.0,-3.7874333360385593,-0.04482169628447999
a2f46292,Ahmed,0.0,0.0,-4.069475073850442,222.0,-4.069475073850442,222.0,0.0,-4.069475073850442,-0.04815946832959103
0a509d6b,R Singh,-4.777289438302003,34.0,0.0,0.0,-4.777289438302003,34.0,0.0,-4.777289438302003,-0.05653596968404737
c16d4035,S Billings,-5.4424923685788,5.0,0.0,0.0,-5.4424923685788,5.0,0.0,-5.4424923685788,-0.06440819371099171
752f7486,IP Kishan,-5.444278054202131,104.0,0.0,0.0,-5.444278054202131,104.0,0.0,-5.444278054202131,-0.06442932608523233
94d7f855,de Grandhomme,6.780125928496161,43.0,-12.618063206668175,31.0,-5.8379372781720145,74.0,0.0,-5.8379372781720145,-0.06908801512629603
f19ccfad,W Sundar,-4.195481801882127,4.0,-1.6614970228028656,54.0,-5.856978824684992,58.0,0.0,-5.856978824684992,-0.06931335887201175
edb3d4f8,K C Cariappa,2.9190523267533135,3.0,-8.776067848908754,13.0,-5.857015522155441,16.0,0.0,-5.857015522155441,-0.06931379316160285
4a8a2e3b,M S Dhoni,-6.08540332376933,317.0,0.0,0.0,-6.08540332376933,317.0,0.0,-6.08540332376933,-0.07201660738188556
db31895a,Rajpoot,0.0,0.0,-6.126450530251421,102.0,-6.126450530251421,102.0,0.0,-6.126450530251421,-0.07250237313907007
cc1e8c68,U Yadav,0.7599742634209369,23.0,-6.976772217911958,238.0,-6.216797954491021,261.0,0.0,-6.216797954491021,-0.07357157342592924
8d2c70ad,K Yadav,-1.0843345270820341,8.0,-5.23337392319537,202.0,-6.317708450277404,210.0,0.0,-6.317708450277404,-0.07476578047665568
ba607b88,Virat Kohli,-6.7202340740497215,332.0,0.0,0.0,-6.7202340740497215,332.0,0.0,-6.7202340740497215,-0.0795293973260322
759ac88f,M Sharma,-2.8118619591651863,2.0,-3.9977430935462803,18.0,-6.809605052711467,20.0,0.0,-6.809605052711467,-0.08058704204392268
b8527c3d,R Salam,0.8252403855602309,4.0,-7.987199042404442,27.0,-7.161958656844211,31.0,0.0,-7.161958656844211,-0.08475690718158829
e342e5fb,C Brathwaite,-4.172587278695782,10.0,-3.5666559547932573,21.0,-7.73924323348904,31.0,0.0,-7.73924323348904,-0.09158867731939692
eef2536f,Aavesh Khan,0.9883183022466242,3.0,-9.138392674535472,19.0,-8.150074372288849,22.0,0.0,-8.150074372288849,-0.09645058428744199
9418198b,Prabhsimran Singh,-8.61708623406435,18.0,0.0,0.0,-8.61708623406435,18.0,0.0,-8.61708623406435,-0.10197735188241835
b63e358a,R Bhui,-9.215445411290403,13.0,0.0,0.0,-9.215445411290403,13.0,0.0,-9.215445411290403,-0.10905852557740123
fef92afc,S Kuggeleijn,0.0,0.0,-9.291022058297592,50.0,-9.291022058297592,50.0,0.0,-9.291022058297592,-0.10995292376683541
23eeb873,Chahar,-4.307166564908888,10.0,-5.05319405854029,397.0,-9.360360623449179,407.0,0.0,-9.360360623449179,-0.11077349850235714
39a2dfa8,R K Tewatia,-8.298685102697476,22.0,-1.0824416014093199,39.0,-9.381126704106796,61.0,0.0,-9.381126704106796,-0.1110192509361751
94253925,H Vihari,-7.963615610174106,8.0,-1.4519737491138884,6.0,-9.415589359287994,14.0,0.0,-9.415589359287994,-0.11142709300932536
8b5b6769,H Singh,-0.6445539979231605,3.0,-8.805011602932517,263.0,-9.449565600855678,266.0,0.0,-9.449565600855678,-0.11182917870835121
441c72ae,P R Barman,-1.3729393343544714,15.0,-8.159684096320273,18.0,-9.532623430674745,33.0,0.0,-9.532623430674745,-0.11281211160561828
c05edf8e,Brar,0.8468032894255888,14.0,-10.480787074489937,30.0,-9.633983785064348,44.0,0.0,-9.633983785064348,-0.11401164242679702
641ac5ff,I Sodhi,0.6079356203163981,6.0,-10.79749176039632,44.0,-10.18955614007992,50.0,0.0,-10.18955614007992,-0.12058646319621208
d67d5f00,D Miller,-10.599373789076653,174.0,0.0,0.0,-10.599373789076653,174.0,0.0,-10.599373789076653,-0.12543637620209055
a9fd84fb,Mayank Markande,1.8046387313838772,5.0,-12.497453817864091,37.0,-10.692815086480215,42.0,0.0,-10.692815086480215,-0.1265421903725469
cfa4bd2b,PR Yarra,-1.2645133228203898,1.0,-9.474593892359312,33.0,-10.739107215179702,34.0,0.0,-10.739107215179702,-0.1270900262151444
119678fd,Sharma,0.0,0.0,-10.795024179858459,17.0,-10.795024179858459,17.0,0.0,-10.795024179858459,-0.12775176544211195
ff1e12a0,A Turner,-11.493728158477909,11.0,0.0,0.0,-11.493728158477909,11.0,0.0,-11.493728158477909,-0.13602045157962023
ade90de7,Midhun S,0.0,0.0,-11.68917090748065,13.0,-11.68917090748065,13.0,0.0,-11.68917090748065,-0.13833338352048105
75224f22,K Paul,-14.891282878728738,26.0,3.153870630486286,180.0,-11.737412248242453,206.0,0.0,-11.737412248242453,-0.13890428696144916
aedc3b7c,N Naik,-12.332410487881171,17.0,0.0,0.0,-12.332410487881171,17.0,0.0,-12.332410487881171,-0.14594568624711446
372455c4,Quinton de Kock,-12.53022786886161,404.0,0.0,0.0,-12.53022786886161,404.0,0.0,-12.53022786886161,-0.14828672034155752
