,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
1a2676c5,-4.632239936064847,18.0,-28.556808969369538,59.0,-33.18904890543438,77.0,0.0,-33.18904890543438,-0.3927698095317678
1abb78f8,17.563939886722878,210.0,-134.0119063629117,1845.0,-116.44796647618882,2055.0,0.0,-116.44796647618882,-1.3780824435051933
1ac746c8,7.24100089390956,150.0,0.0,0.0,7.24100089390956,150.0,0.0,7.24100089390956,0.08569231827111906
1b7b0fa7,-3.702640393509704,49.0,-4.527102459289109,21.0,-8.229742852798813,70.0,0.0,-8.229742852798813,-0.09739340654199778
1be70c88,6.354308785828952,27.0,-8.051721553274875,6.0,-1.6974127674459236,33.0,0.0,-1.6974127674459236,-0.020087725058531642
1c17e270,270.13980349445933,3927.0,0.0,0.0,270.13980349445933,3927.0,0.0,270.13980349445933,3.1969207514137197
1c2a64cd,19.301801229015854,196.0,-17.43859625069219,270.0,1.8632049783236653,466.0,0.0,1.8632049783236653,0.022049763057084795
1c914163,-31.50780946542444,2207.0,-6.243820076224227,882.0,-37.75162954164867,3089.0,0.0,-37.75162954164867,-0.44676484664672983
1cb14aa4,0.0,0.0,-13.530574078753991,19.0,-13.530574078753991,19.0,0.0,-13.530574078753991,-0.16012513702667444
1da489ff,0.0,0.0,-4.446554962514365,210.0,-4.446554962514365,210.0,0.0,-4.446554962514365,-0.052621952219104914
1dc12ab9,366.91511540243687,4177.0,37.22145295172135,929.0,404.1365683541582,5106.0,0.0,404.1365683541582,4.78268128229773
1e66c162,23.52607109436207,142.0,-146.27985648542256,2103.0,-122.75378539106049,2245.0,0.0,-122.75378539106049,-1.452707519420834
1ee08e9a,-13.68684134930233,27.0,-19.573856048284032,94.0,-33.26069739758636,121.0,0.0,-33.26069739758636,-0.3936177206814954
1efb8a28,13.601930249194728,91.0,0.0,0.0,13.601930249194728,91.0,0.0,13.601930249194728,0.1609695887478666
1fc6ef83,4.25170359849715,45.0,0.0,0.0,4.25170359849715,45.0,0.0,4.25170359849715,0.05031601891712603
2049f3a0,-1.481285480750564,5.0,-31.310777924565993,305.0,-32.792063405316554,310.0,0.0,-32.792063405316554,-0.38807175627593554
20a941bb,-2.2332845843641556,18.0,19.493739515165217,213.0,17.26045493080106,231.0,0.0,17.26045493080106,0.20426573882604807
21ac077a,0.0,0.0,-14.849645516057302,12.0,-14.849645516057302,12.0,0.0,-14.849645516057302,-0.17573544989416925
21d4e29b,-7.662999188892382,37.0,-30.757562493749944,697.0,-38.42056168264233,734.0,0.0,-38.42056168264233,-0.45468120334487966
235c2bb6,130.52514231017628,462.0,0.0,0.0,130.52514231017628,462.0,0.0,130.52514231017628,1.5446762403571157
23ac69e6,-7.555712408140122,105.0,0.0,0.0,-7.555712408140122,105.0,0.0,-7.555712408140122,-0.08941671488923222
23cca426,-13.905125454495657,50.0,-39.383968683156496,95.0,-53.28909413765216,145.0,0.0,-53.28909413765216,-0.630640167309493
23eeb873,16.771045882830546,61.0,-101.99872162695503,1726.0,-85.22767574412448,1787.0,0.0,-85.22767574412448,-1.0086115472677453
244048f6,-7.794109328728499,36.0,58.381817301101584,1301.0,50.58770797237308,1337.0,0.0,50.58770797237308,0.5986711002647702
245c97cb,-3.8886643400453274,10.0,-48.556880212084764,218.0,-52.44554455213009,228.0,0.0,-52.44554455213009,-0.6206573319778709
2461eef2,-30.861793792574506,167.0,0.0,0.0,-30.861793792574506,167.0,0.0,-30.861793792574506,-0.36522832890620716
2498e163,23.000726713760226,314.0,-60.70272716407108,369.0,-37.70200045031085,683.0,0.0,-37.70200045031085,-0.4461775201220219
249abedf,0.0,0.0,0.1689515131780075,18.0,0.1689515131780075,18.0,0.0,0.1689515131780075,0.00199942619145571
249d60c9,7.442533314431097,17.0,-15.016067723425932,60.0,-7.573534408994835,77.0,0.0,-7.573534408994835,-0.0896276261419507
24d94623,20.86386299719513,69.0,9.148360080258433,375.0,30.012223077453562,444.0,0.0,30.012223077453562,0.35517423760300076
2503e881,0.0,0.0,-6.533184864938315,18.0,-6.533184864938315,18.0,0.0,-6.533184864938315,-0.07731579721820492
25eeb281,-41.55822227282521,432.0,-12.347404923969796,153.0,-53.90562719679501,585.0,0.0,-53.90562719679501,-0.6379364165301185
25f7b7d6,1.2747204724648462,22.0,0.0,0.0,1.2747204724648462,22.0,0.0,1.2747204724648462,0.015085449378282203
260fd380,0.0,0.0,-13.58469399609499,156.0,-13.58469399609499,156.0,0.0,-13.58469399609499,-0.1607656094212425
266849c1,0.0,0.0,-3.141158656161026,24.0,-3.141158656161026,24.0,0.0,-3.141158656161026,-0.037173475220840545
26989d80,55.59299681504888,170.0,-3.0746258188341162,13.0,52.51837099621476,183.0,0.0,52.51837099621476,0.621519183387157
26a85969,-43.210838774026776,188.0,-7.438091055953743,674.0,-50.64892982998052,862.0,0.0,-50.64892982998052,-0.5993956192897103
26d041c4,2.695852614666979,143.0,-31.195137613075666,88.0,-28.499284998408687,231.0,0.0,-28.499284998408687,-0.33726964495158207
26d76ad9,-17.279084957271042,26.0,0.0,0.0,-17.279084957271042,26.0,0.0,-17.279084957271042,-0.20448621251208335
26e5cabf,-165.25367563312983,1489.0,-23.470780215752736,45.0,-188.72445584888257,1534.0,0.0,-188.72445584888257,-2.2334255130045273
26ff4c29,-6.506999871275206,32.0,-3.8333381501468606,48.0,-10.340338021422067,80.0,0.0,-10.340338021422067,-0.12237086415884103
271f83cd,375.55148839896606,2398.0,-2.6120402514103396,6.0,372.9394481475557,2404.0,0.0,372.9394481475557,4.413484593462198
2728e7e9,-43.00103673881462,141.0,0.0,0.0,-43.00103673881462,141.0,0.0,-43.00103673881462,-0.5088880087433683
272d796e,2.9807770627525927,36.0,0.0,0.0,2.9807770627525927,36.0,0.0,2.9807770627525927,0.035275468198255534
27af6414,14.56343915046731,146.0,-0.8566209893659167,7.0,13.706818161101394,153.0,0.0,13.706818161101394,0.16221086581185082
27e71d47,5.071022184466995,9.0,-6.457864769910598,56.0,-1.3868425854436035,65.0,0.0,-1.3868425854436035,-0.016412338289273413
2815fe50,-24.079042745101226,218.0,-25.61123090012526,88.0,-49.69027364522648,306.0,0.0,-49.69027364522648,-0.5880505756831537
287686fd,14.150602559753668,29.0,-50.23162236842989,113.0,-36.08101980867622,142.0,0.0,-36.08101980867622,-0.4269943172624404
28c78fb3,-5.546509459926763,119.0,0.0,0.0,-5.546509459926763,119.0,0.0,-5.546509459926763,-0.06563916520623388
297b26da,-26.016276634260407,67.0,0.0,0.0,-26.016276634260407,67.0,0.0,-26.016276634260407,-0.3078849305829634
29d72eb2,-2.9924280003531747,11.0,-41.58992608838147,255.0,-44.58235408873464,266.0,0.0,-44.58235408873464,-0.5276018235353211
29e95537,-295.2631834080249,3787.0,0.9563470279468903,6.0,-294.306836380078,3793.0,0.0,-294.306836380078,-3.482921140592639
2a2e6343,-96.99950295981523,408.0,5.77286397065347,922.0,-91.22663898916176,1330.0,0.0,-91.22663898916176,-1.079605195138009
2a72fd4f,3.091462913306174,12.0,-39.465286405789946,549.0,-36.37382349248377,561.0,0.0,-36.37382349248377,-0.43045944961519256
2af1b6d2,3.6348951497590405,27.0,-31.42045019689435,362.0,-27.78555504713531,389.0,0.0,-27.78555504713531,-0.3288231366524889
2b6e6dec,214.3016809586442,1555.0,1.3522759815056198,1.0,215.6539569401498,1556.0,0.0,215.6539569401498,2.5521178336112404
2bb09eb2,-8.535980156508248,12.0,0.0,0.0,-8.535980156508248,12.0,0.0,-8.535980156508248,-0.10101751664506803
2be41edb,22.0668947178738,197.0,0.0,0.0,22.0668947178738,197.0,0.0,22.0668947178738,0.261146683051761
2c25d4f5,-173.6217214402159,1322.0,0.0,0.0,-173.6217214402159,1322.0,0.0,-173.6217214402159,-2.0546949282865787
2c76b512,-0.6918564071280129,2.0,-0.6567148568954355,84.0,-1.3485712640234484,86.0,0.0,-1.3485712640234484,-0.015959423242881045
2cdce1be,-14.999959397870704,31.0,73.00717205062739,460.0,58.007212652756685,491.0,0.0,58.007212652756685,0.6864758893817359
2cffab74,-8.36405358026327,12.0,-71.9791244207407,308.0,-80.34317800100398,320.0,0.0,-80.34317800100398,-0.9508068402485678
2e11c706,21.792803258074528,146.0,-54.39171705207214,288.0,-32.59891379399761,434.0,0.0,-32.59891379399761,-0.38578596205914334
2e171977,-31.667946834826097,1185.0,307.64500926918845,3056.0,275.9770624343623,4241.0,0.0,275.9770624343623,3.2660007388681933
2e78f685,-4.192504413865103,3.0,-20.52301177001217,255.0,-24.715516183877273,258.0,0.0,-24.715516183877273,-0.29249131578552984
2e81a32d,-88.61138003280547,316.0,476.05022817435486,3883.0,387.4388481415494,4199.0,0.0,387.4388481415494,4.585075125935496
2e8994e7,-121.06901901666511,1680.0,31.64703513621756,701.0,-89.42198388044756,2381.0,0.0,-89.42198388044756,-1.058248329946125
2e9fdf9b,-2.0365688292450232,9.0,1.0935374484857623,25.0,-0.943031380759261,34.0,0.0,-0.943031380759261,-0.01116013468354155
2ed569a0,-24.191818411077918,112.0,59.29602218950546,1556.0,35.10420377842754,1668.0,0.0,35.10420377842754,0.415434364241746
2eeb4370,-5.787118019695287,21.0,0.0,0.0,-5.787118019695287,21.0,0.0,-5.787118019695287,-0.06848660378337618
2f3817ce,0.0,0.0,-40.96413146211016,74.0,-40.96413146211016,74.0,0.0,-40.96413146211016,-0.4847826208533747
2f49c897,-7.191611416487859,120.0,69.45819571575888,1896.0,62.26658429927102,2016.0,0.0,62.26658429927102,0.7368826544292428
2f9d0389,23.01688287727408,48.0,21.507070212894096,904.0,44.52395309016818,952.0,0.0,44.52395309016818,0.5269106874576116
30a2649b,4.459291959306873,158.0,0.0,0.0,4.459291959306873,158.0,0.0,4.459291959306873,0.05277268590895708
30a45b23,-11.091579466793474,1999.0,-1.645506641627728,2.0,-12.737086108421202,2001.0,0.0,-12.737086108421202,-0.15073474684522134
30df8c66,-3.87173004232039,8.0,10.312253523419965,113.0,6.440523481099575,121.0,0.0,6.440523481099575,0.07621921279407781
30e37810,11.66910818732467,31.0,0.0,0.0,11.66910818732467,31.0,0.0,11.66910818732467,0.13809595487958187
3204c99f,-10.404579449431568,13.0,-39.42835985738918,183.0,-49.83293930682075,196.0,0.0,-49.83293930682075,-0.5897389267079378
32198ae0,-17.917532867651072,801.0,-93.39771524176246,979.0,-111.31524810941353,1780.0,0.0,-111.31524810941353,-1.317340214312586
3241e3fd,155.44016215428897,1020.0,0.0,0.0,155.44016215428897,1020.0,0.0,155.44016215428897,1.8395285462046032
327b58d3,1.8852376043156744,32.0,-17.126372563976236,278.0,-15.241134959660561,310.0,0.0,-15.241134959660561,-0.18036846106107174
331ea488,0.9082564347530924,105.0,0.0,0.0,0.9082564347530924,105.0,0.0,0.9082564347530924,0.010748596860983341
3355b542,-100.15447585099254,3320.0,-25.855899318927104,6.0,-126.01037516991964,3326.0,0.0,-126.01037516991964,-1.4912470434310017
33a364a6,-21.099238888960016,290.0,58.77771724877849,1661.0,37.67847835981847,1951.0,0.0,37.67847835981847,0.44589915218720083
33cb3411,-5.565028768481298,7.0,0.0,0.0,-5.565028768481298,7.0,0.0,-5.565028768481298,-0.06585832862108044
33ffc3dd,-2.930747152789237,2.0,-4.162246231780593,14.0,-7.09299338456983,16.0,0.0,-7.09299338456983,-0.08394075011325243
342d8ade,0.8272252842794059,3.0,21.939107269916498,249.0,22.766332554195905,252.0,0.0,22.766332554195905,0.26942405389580953
350bb1b1,-15.110520036040972,30.0,-48.60944610908599,217.0,-63.71996614512696,247.0,0.0,-63.71996614512696,-0.7540824395873013
35205dfc,170.59272245319266,1802.0,-115.2461394170409,557.0,55.34658303615177,2359.0,0.0,55.34658303615177,0.6549891483568256
3576e47e,-76.22322363996157,1245.0,0.0,0.0,-76.22322363996157,1245.0,0.0,-76.22322363996157,-0.9020499839048707
36d33dd0,-23.44600198443782,78.0,0.0,0.0,-23.44600198443782,78.0,0.0,-23.44600198443782,-0.277467479105773
372455c4,45.35261698173099,2381.0,0.0,0.0,45.35261698173099,2381.0,0.0,45.35261698173099,0.5367173607305442
378daa89,-5.573058058884757,109.0,-7.164384405305226,6.0,-12.737442464189982,115.0,0.0,-12.737442464189982,-0.15073896407325424
38f2c66c,-0.34253458055517494,2.0,-11.983601579630214,32.0,-12.326136160185388,34.0,0.0,-12.326136160185388,-0.1458714338483478
39086549,-13.076706061321023,80.0,0.0,0.0,-13.076706061321023,80.0,0.0,-13.076706061321023,-0.1547539178854559
39a2dfa8,-34.786060986178114,761.0,4.4463756538638615,866.0,-30.339685332314254,1627.0,0.0,-30.339685332314254,-0.359049530559932
39ed0d2f,-13.893016186716572,25.0,0.0,0.0,-13.893016186716572,25.0,0.0,-13.893016186716572,-0.16441439274220795
39f01cdb,85.33360541543365,758.0,-2.3793774416672338,180.0,82.95422797376642,938.0,0.0,82.95422797376642,0.9817068399262299
39f82db3,-12.530690676456787,103.0,-4.8977007575047935,18.0,-17.42839143396158,121.0,0.0,-17.42839143396158,-0.20625315306463407
3a02626a,-18.10734192508953,61.0,0.0,0.0,-18.10734192508953,61.0,0.0,-18.10734192508953,-0.2142880701194027
3a60e0b5,-30.558451102062303,86.0,55.18452844756069,758.0,24.626077345498384,844.0,0.0,24.626077345498384,0.2914328679940637
3ae3f034,19.78053457889729,26.0,3.8044694336419393,41.0,23.58500401253923,67.0,0.0,23.58500401253923,0.2791124735211743
3c6ffae8,429.4399288854403,2333.0,-25.10380513443324,1184.0,404.33612375100705,3517.0,0.0,404.33612375100705,4.785042884627303
3d284ca3,77.66083498388933,289.0,0.0,0.0,77.66083498388933,289.0,0.0,77.66083498388933,0.9190631359040158
3d7e087f,-2.0114360403177285,59.0,29.618535492558248,1557.0,27.60709945224052,1616.0,0.0,27.60709945224052,0.3267112361211896
3d8feaf8,4.475235163349659,532.0,8.653160696247232,593.0,13.12839585959689,1125.0,0.0,13.12839585959689,0.15536563147451943
3dba85c2,-21.854579230478162,76.0,-2.295629774224003,75.0,-24.150209004702166,151.0,0.0,-24.150209004702166,-0.28580128999647536
3eac9d95,-32.65517821436393,110.0,-54.21031091032684,244.0,-86.86548912469077,354.0,0.0,-86.86548912469077,-1.0279939541383523
3edb58fc,-19.656550649755157,79.0,-24.76637634811323,310.0,-44.42292699786839,389.0,0.0,-44.42292699786839,-0.5257151124008094
3fb19989,-11.576115235713445,105.0,-17.069137680220475,765.0,-28.64525291593392,870.0,0.0,-28.64525291593392,-0.33899707592821204
3fca55af,15.988030185316134,311.0,0.0,0.0,15.988030185316134,311.0,0.0,15.988030185316134,0.18920745781439213
3ff033bb,-9.822888972235312,26.0,0.0,0.0,-9.822888972235312,26.0,0.0,-9.822888972235312,-0.11624720677201553
40caa465,-12.321923822124576,20.0,0.0,0.0,-12.321923822124576,20.0,0.0,-12.321923822124576,-0.14582158369378198
4125d931,-6.176737224284098,62.0,-44.188387111280015,434.0,-50.36512433556411,496.0,0.0,-50.36512433556411,-0.5960369743853741
4180d897,-1.3038570097304962,4.0,19.269792776679292,122.0,17.965935766948796,126.0,0.0,17.965935766948796,0.2126146244609325
41eb4a4f,-0.14712225561011527,288.0,-94.53268106565169,2186.0,-94.6798033212618,2474.0,0.0,-94.6798033212618,-1.1204710452220332
